dt	dhsl	Mode	pCa
0.0005	0	-2	6.23038
0.0005	0	-2	6.23067
0.0005	0	-2	6.23100
0.0005	0	-2	6.23136
0.0005	0	-2	6.23177
0.0005	0	-2	6.23221
0.0005	0	-2	6.23268
0.0005	0	-2	6.23317
0.0005	0	-2	6.23369
0.0005	0	-2	6.23423
0.0005	0	-2	6.23479
0.0005	0	-2	6.23473
0.0005	0	-2	6.23470
0.0005	0	-2	6.23468
0.0005	0	-2	6.23469
0.0005	0	-2	6.23474
0.0005	0	-2	6.23483
0.0005	0	-2	6.23496
0.0005	0	-2	6.23514
0.0005	0	-2	6.23538
0.0005	0	-2	6.23566
0.0005	0	-2	6.23601
0.0005	0	-2	6.23642
0.0005	0	-2	6.23688
0.0005	0	-2	6.23740
0.0005	0	-2	6.23797
0.0005	0	-2	6.23860
0.0005	0	-2	6.23927
0.0005	0	-2	6.23999
0.0005	0	-2	6.24074
0.0005	0	-2	6.24153
0.0005	0	-2	6.24183
0.0005	0	-2	6.24215
0.0005	0	-2	6.24252
0.0005	0	-2	6.24292
0.0005	0	-2	6.24336
0.0005	0	-2	6.24385
0.0005	0	-2	6.24438
0.0005	0	-2	6.24497
0.0005	0	-2	6.24559
0.0005	0	-2	6.24627
0.0005	0	-2	6.24699
0.0005	0	-2	6.24775
0.0005	0	-2	6.24855
0.0005	0	-2	6.24939
0.0005	0	-2	6.25025
0.0005	0	-2	6.25115
0.0005	0	-2	6.25206
0.0005	0	-2	6.25299
0.0005	0	-2	6.25393
0.0005	0	-2	6.25487
0.0005	0	-2	6.25515
0.0005	0	-2	6.25544
0.0005	0	-2	6.25573
0.0005	0	-2	6.25604
0.0005	0	-2	6.25638
